,Lattitude,Longitude
282,25.9653698,-80.1428234
283,25.7741728,-80.19362
284,34.9498007,-81.9320157
285,32.2371465,-80.8603868
286,36.8018163,-97.2861191
287,41.0017643,-73.6656834
288,39.2908816,-76.610759
289,39.2908816,-76.610759
290,35.0841034,-106.650985
291,32.0790074,-81.0921335
292,26.9620053,-82.3525952
293,39.5261206,-119.8126581
294,47.6038321,-122.330062
295,40.8088861,-96.7077751
296,39.684755,-88.3064367
297,33.8551004,-91.0266112
298,36.1672559,-115.148516
299,38.762173000000004,-121.18503354568439
300,27.9477595,-82.458444
301,26.1421976,-81.7942944
302,26.1223084,-80.1433786
303,44.9497487,-93.0931028
304,41.9205931,-87.8160169
305,37.2081729,-93.2922715
306,42.7369124,-96.2213607
307,30.5935684,-82.0118255
308,32.7174202,-117.162772
309,33.4151005,-111.831455
310,45.1888539,-93.3974538
311,30.7918559,-85.6796533
312,47.9793437,-122.2127011
313,36.7151346,-90.4146358
314,38.6613007,-90.4423653
315,42.9760854,-82.4333742
316,18.2011161,-67.1391124
317,18.4293299,-66.0602693
318,18.465299,-66.116666
319,41.7728699,-88.1479278
320,41.3323725,-87.7850863
321,41.8755616,-87.6244212
322,41.8755616,-87.6244212
323,41.8755616,-87.6244212
324,41.8755616,-87.6244212
325,42.2713945,-89.093966
326,47.8278656,-122.3053932
327,37.9747795,-122.5316686
328,37.8044557,-122.271356
329,42.6414437,-71.3085329
330,27.4467056,-80.3256056
331,28.5494447,-81.7728543
332,29.6487882,-81.6372111
333,42.5803122,-83.0302033
334,33.6956461,-78.8900409
335,33.4484367,-112.074141
336,34.1652304,-84.7997613
337,24.5548262,-81.8020722
338,33.5801103,-85.0766113
339,47.5298533,-92.2367644
340,31.9845929,-86.5785856
341,34.947959,-83.7569922
342,34.6950278,-84.4827394
343,40.5247777,-111.8627989
344,34.0028569,-84.1441046
345,41.3822398,-81.7355692
346,30.4753525,-90.1010474
347,28.5421109,-81.3790304
348,40.7127281,-74.0060152
349,40.7127281,-74.0060152
350,41.2230048,-111.9738429
351,39.181334,-77.266647
352,40.5092961,-88.9843937
353,26.3586885,-80.0830984
354,47.2455013,-122.438329
355,39.1698022,-119.7575628
356,32.8401623,-117.2740777
357,41.630663,-87.8536288
358,29.3102726,-98.8129169
359,25.9363356,-81.7156832
360,45.497461,-95.796714
361,47.647666799999996,-122.54611033202251
362,34.0536909,-118.242766
363,34.5114883,-83.5271166
364,48.7744263,-96.946447
365,26.4257905,-81.4256005
366,33.5801103,-85.0766113
367,45.6015056,-121.1841587
368,47.6038321,-122.330062
369,35.6876096,-105.938456
370,38.5830717,-93.694658
371,25.7741728,-80.19362
372,41.0349847,-111.9383931
373,45.702743,-94.2744404
374,42.4767131,-88.0950691
375,48.7544012,-122.478836
376,34.0194704,-118.491227
377,32.8401623,-117.2740777
378,39.7990175,-89.6439575
379,33.5381601,-86.7072102
380,42.4461934,-73.7884568
381,30.1586518,-85.6602936
382,33.7489924,-84.3902644
383,38.9742502,-94.6851702
384,33.4151005,-111.831455
385,25.7741728,-80.19362
386,38.9583737,-77.3579805
387,41.7571701,-88.3147539
388,41.4996574,-81.6936772
389,32.0868611,-82.1178978
390,33.9412127,-84.2135309
391,33.7489924,-84.3902644
392,26.640628,-81.8723084
393,33.4270275,-117.6124179
394,26.1421976,-81.7942944
395,27.3365805,-82.5308545
396,37.7790262,-122.419906
397,38.6280278,-90.1910154
398,44.985624,-92.9645794
399,42.3315509,-83.0466403
400,33.2757006,-82.9762589
401,29.7589382,-95.3676974
402,30.9498688,-95.9127773
403,31.6271145,-96.2838621
404,41.8755616,-87.6244212
405,37.7790262,-122.419906
406,34.0536909,-118.242766
407,32.7174202,-117.162772
408,41.6737149,-88.0016263
409,33.4484367,-112.074141
410,41.7950525,-87.9751964
411,45.2812733,-93.614857
412,42.7260523,-87.7825242
413,27.4989278,-82.5748194
414,26.1421976,-81.7942944
415,33.9566391,-83.9890066
416,26.1421976,-81.7942944
417,35.3738712,-119.0194639
418,38.2544472,-104.609141
419,43.5610145,-91.6359516
420,41.8119602,-79.2654452
421,33.7489924,-84.3902644
422,38.2542376,-85.759407
423,39.2014405,-85.9213796
424,47.0263876,-122.8072257
425,44.919896,-92.9339449
426,41.8755616,-87.6244212
427,35.1987522,-111.651822
428,42.0841936,-88.0131275
429,42.4966815,-96.4058782
430,41.6028116,-87.7439384
431,39.100105,-94.5781416
432,34.4458248,-119.0779359
433,45.279106,-92.9851629
434,39.2908816,-76.610759
435,30.2711286,-97.7436995
436,33.5206824,-86.8024326
437,33.3806716,-84.7996573
438,33.7489924,-84.3902644
439,36.1672559,-115.148516
440,33.4484367,-112.074141
441,33.3527632,-111.789037
442,32.3669656,-86.3006485
443,40.4416941,-79.9900861
444,44.2998261,-120.834972
445,27.0999188,-82.4543597
446,27.3365805,-82.5308545
447,41.6100344,-87.6467132
448,40.6639916,-74.2107006
449,39.3303357,-84.408275
450,26.9342246,-80.0942087
451,34.6381255,-99.3339754
452,33.0095802,-83.5337816
453,32.4586695,-83.7319658
454,32.8406946,-83.6324022
455,34.1014112,-84.5192192
456,34.0709576,-84.2747329
457,34.0514898,-84.0712997
458,42.9637836,-78.7377258
459,33.4946353,-117.147366
460,34.1033192,-117.5751735
461,43.5488256,-96.7307737
462,33.9919085,-83.7184368
463,43.646067,-108.212043
464,41.6899779,-87.7974139
465,32.7762719,-96.7968559
466,40.125222,-87.6304614
467,42.3177911,-90.221517
468,42.0147513,-89.3323279
469,39.62973,-90.4562813
470,38.5896187,-89.420064
471,34.0536909,-118.242766
472,33.6856969,-117.8259819
473,45.8260672,-92.9685423
474,33.3806716,-84.7996573
475,33.732052,-84.9191081
476,37.1533554,-98.0311728
477,34.2257282,-77.9447107
478,33.4487257,-84.4549262
479,42.0055985,-87.735572
480,40.4588934,-90.6713939
481,40.1164841,-88.2430932
482,25.7331105,-80.2585107
483,47.5653663,-122.6246836
484,41.0751048,-111.9741925
485,40.9796683,-74.1194403
486,33.7489924,-84.3902644
487,43.680741,-114.363662
488,34.1446643,-118.644097
489,42.4853125,-83.3771553
490,34.0234337,-84.6154897
491,41.1958128,-115.3272864
492,39.14063875,-94.40298628681785
493,40.4233142,-104.7091322
494,34.2257282,-77.9447107
495,33.7489924,-84.3902644
496,38.5723318,-94.8786484
497,38.8339578,-104.825348
498,33.5442781,-84.2338093
499,34.203997,-83.4571058
500,36.0301134,-114.9826194
501,41.5424867,-87.6022765
502,45.0049305,-122.7832947
503,45.4871723,-122.80378
504,39.6078254,-90.805129
505,26.6059432,-81.9806771
506,41.2747492,-98.9672755
507,37.1641544,-120.7678602
508,34.0211224,-118.396466
509,33.4473361,-84.1468616
510,29.1871986,-82.1400923
511,39.0017772,-76.6874671
512,40.7596198,-111.886797
513,34.0550328,-117.1827445
514,45.6306954,-122.6744557
515,41.8889194,-87.9033956
516,30.1424077,-102.394024
517,34.0028569,-84.1441046
518,34.1282559,-83.5753386
519,34.0553813,-117.7517496
520,33.6170092,-117.9294401
521,33.8389977,-83.9007382
522,34.0536909,-118.242766
523,29.7589382,-95.3676974
524,27.4989278,-82.5748194
525,34.0709576,-84.2747329
526,39.2875475,-90.5523438
527,42.4310816,-83.4832339
528,36.0301134,-114.9826194
529,37.420948,-81.4401034
530,36.0301134,-114.9826194
531,34.0709576,-84.2747329
532,39.049011,-95.677556
533,27.4989278,-82.5748194
534,33.6170092,-117.9294401
535,39.5261206,-119.8126581
536,34.1476507,-118.1441551
537,46.3550001,-94.7933333
538,36.3728538,-94.2088172
539,38.0900314,-94.5838444
540,39.100105,-94.5781416
541,40.4847717,-83.9229952
542,34.0709576,-84.2747329
543,40.4416941,-79.9900861
544,39.3596842,-111.586305
545,41.0339862,-73.7629097
546,30.4380832,-84.2809332
547,40.735657,-74.1723667
548,39.9527237,-75.1635262
549,42.81032,-89.8622149
550,33.8371392,-118.3413606
551,31.0149128,-92.2873521
552,35.7847949,-89.1172883
553,33.7489924,-84.3902644
554,41.8755616,-87.6244212
555,41.0534302,-73.5387341
556,43.5974492,-86.33795091855055
557,26.3586885,-80.0830984
558,33.4484367,-112.074141
559,41.365333,-81.507896
560,31.1778312,-105.357627
561,25.7741728,-80.19362
562,36.4208054,-94.4526535
563,41.8024604,-87.9299841
564,39.6492377,-81.8620804
565,42.9956397,-71.4547891
566,37.1511655,-88.7319979
567,21.304547,-157.855676
